actionCode,count (117th Congress),equivalent_actionCode,text
Intro-H,6990,1000,Introduced to House.
H30300,292,,Motion to suspend the rules
H37220,220,H8D000 (POSTPONED PROCEEDINGS),At the conclusion of debate … postponed
H37100,153,,Passed/agreed
H1B000,125,,Pursuant to the provisions
H12420,43,,House Calendar assignment
H12700,35,H1L210,Rule provides for consideration of
H36210,29,,On motion
H36200,28,,Moved to the Committee
H8A000,26,H35000,The previous question was ordered pursuant to the rule
H30200,21,,¿?
H38800,18,,Title amended
H38900,9,,Clerk correction
H36610,9,,¿?
H36600,9,,¿?
H41931,8,H38310,Motion To Reconsider Results
H41610,8,19000,Resolving differences -- House actions
19500,8,19000,Resolving differences -- House actions
H82000,6,H38310,Motion To Reconsider Results
H12210,5,,Supplemental report filed by the Committee
H11210,5,,House Committee granted an extension
H36510,4,,¿?
H36500,4,,¿?
H41400,3,H35000,The previous question was ordered pursuant to the rule
20500,3,20000,Resolving differences -- Senate actions
H40150,2,19000,Resolving differences -- House actions
H40140,2,19000,Resolving differences -- House actions
H40110,2,19000,Resolving differences -- House actions
H38400,2,,¿?
H30800,2,,Consideration initiated
H12440,2,,¿?
H41930,1,,¿?
H40130,1,19000,Resolving differences -- House actions
H38410,1,H38310,Motion To Reconsider Results
H36700,1,,¿?
H36110,1,,¿?
H36100,1,,¿?
H30230,1,,¿?
H12490,1,,Discharged from House Calendar
80000,1,,¿?
